famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,585870,001,2023-01-02_22h23.56.219,expectation_shapes_perceived_time,2022.2.4,59.61457981855153,
1,0,1,0,585870,001,2023-01-02_22h23.56.219,expectation_shapes_perceived_time,2022.2.4,59.61457981855153,
2,0,2,0,585870,001,2023-01-02_22h23.56.219,expectation_shapes_perceived_time,2022.2.4,59.61457981855153,
