famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.458377739999378,11.492054939998525,270.00000000000057,13.526421239998854,13.526421239998854,346602,001,2023-01-10_14h01.54.225,expectation_shapes_perceived_time,2022.2.4,60.888212893893446,
,,,,16.093692239998745,16.127126639999005,270.00000000000057,18.161334339999485,18.161334339999485,,,,,,,
