Block Type,Expectation Congruency (Met/Unmet),Distractor Target Delay(D-T),Perceived Time Error
No Expectation,None,-300,-50
No Expectation,None,-233,-70
No Expectation,None,-167,-60
No Expectation,None,-100,-20
No Expectation,None,-33,-30
No Expectation,None,33,-10
No Expectation,None,100,10
No Expectation,None,167,90
No Expectation,None,233,70
No Expectation,None,300,40
