id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5477184000046691,0.5477184000046691,270.0000000000009,2.539177300001029,2.539177300001029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.499001699994551,0.499001699994551,270.0000000000009,2.4904208999942057,2.4904208999942057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.4987980999867432,0.4987980999867432,270.0000000000009,2.4903331999958027,2.4903331999958027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4982644999981858,0.4982644999981858,270.0000000000009,2.4901387999998406,2.4901387999998406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,0,0,0,train_doubleStim,,,,,,green,1.4246127018097974,1.425,2.2916382999974303,0.9992842999927234,1e-05,1e-05,0.03294,1.4246969999949215,1.4583883000013884,2.000041599996621,2.032930999994278,2.2916382999974303,2.2916382999974303,2.491450600005919,2.8750424000027124,0.5834041000052821,4.207949400006328,1.9163111000088975,1.3329070000036154,1.69347,-0.12134908788250065,0.08441675678782654,,,,None,,-0.5,-0.5,0.8912827018097972,0.8916666666666666,training_double_stim.csv,0.8914887999999337,0.924653699999908,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,1,1,7,train_doubleStim,,,,,,green,1.3001620557950673,1.3,2.292020799999591,0.9969341999967583,1e-05,1e-05,0.03334,1.300065799994627,1.333512299999711,2.0000906999921426,2.0335989000013797,2.292020799999591,2.292020799999591,2.4918727000040235,2.4918727000040235,0.19985190000443254,3.466697900003055,1.1746771000034641,0.9748251999990316,1.33599,-0.1286318852572826,-0.0728397422541239,,,,None,,0.5,0.5,1.8334920557950674,1.8333333333333333,training_double_stim.csv,1.8333267999987584,1.8668715999956476,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,2,2,4,train_doubleStim,,,,,,red,1.3311763730066857,1.325,2.2919014999934006,0.9985556000028737,2e-05,2e-05,,1.3252959999954328,1.3584086999908322,2.0002266999945277,,2.2919014999934006,2.2919014999934006,2.4917452999943634,2.816934599992237,0.5250330999988364,3.9672177999891574,1.6753162999957567,1.1502831999969203,1.55679,-0.14547710949783343,0.026233577122560126,,,,None,,-0.5,-0.5,0.7978463730066857,0.8,training_double_stim.csv,0.800731099996483,0.8341045999986818,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,3,3,9,train_doubleStim,,,,,,red,1.0965155873430017,1.0916666666666666,2.2916783999971813,0.9981943000020692,1e-05,1e-05,0.03375,1.0920770000084303,1.125859899999341,2.000326399996993,2.03365009999834,2.2916783999971813,2.2916783999971813,2.491954600001918,2.525025499999174,0.23334710000199266,4.158360700006597,1.8666823000094155,1.6333352000074228,1.27703,-0.11301437283241207,-0.09528662807438663,,,,None,,0.5,0.5,1.6298455873430016,1.625,training_double_stim.csv,1.6251874000008684,1.6587538000021596,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,4,4,3,train_doubleStim,,,,,,red,0.6994877656429219,0.7,2.291479299994535,0.9987057999969693,3e-05,3e-05,0.03346,0.7005866999970749,0.7334153999981936,1.999867999998969,2.0331193000019994,2.291479299994535,2.291479299994535,2.491855200001737,2.7498845999944024,0.45840529999986757,4.81646180000098,2.5249825000064448,2.066577200006577,1.58344,-0.14277427781106988,0.03830529404687241,,,,None,,-0.5,-0.5,0.1661577656429219,0.16666666666666666,training_double_stim.csv,0.16645129999960773,0.1999387999967439,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,5,5,5,train_doubleStim,,,,,,red,0.17118083691801933,0.16666666666666666,2.2913861999986693,0.9990911999921082,8e-05,8e-05,0.03319,0.16689939999196213,0.2002786999946693,1.9999284999939846,2.0330377999925986,2.2913861999986693,2.2913861999986693,2.491257299989229,2.3912198999896646,0.09983369999099523,3.4917163999925833,1.200330199993914,1.1004965000029188,0.12567,0.05685519595580572,0.1364524702939337,,,,None,,0.5,0.5,0.7045108369180194,0.7,training_double_stim.csv,0.6995478000026196,0.73300670000026,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
