id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49888289999216795,0.49888289999216795,270.0,2.498461600043811,2.498461600043811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.49876689998200163,0.49876689998200163,270.0,2.4986708000069484,2.4986708000069484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,0,0,7,train_doubleStim,,,,,,green,0.4596175071422479,0.4583333333333333,2.2999074999825098,0.9988848000066355,1e-05,1e-05,0.03306,0.45859489997383207,0.4920863999868743,1.9997820999706164,2.03327299997909,2.2999074999825098,2.2999074999825098,3.433562799997162,1.1336553000146523,2.500126699975226,5.650089300004765,3.3501818000222556,2.2165265000076033,0.86915,0.05906811919944627,-0.1355092146340238,,,,None,,0.5,0.5,0.9929475071422479,0.9916666666666667,training_double_stim.csv,0.991468199994415,1.0247524000005797,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,500,0.5,none,60,red,green,no_Expectation,,,,,,0,1,1,8,train_doubleStim,,,,,,red,0.6339699417449454,0.6333333333333333,2.2997962000081316,0.9970181999960914,6e-05,6e-05,0.0332,0.6329612000263296,0.6660950999939814,1.9994633999885991,2.033033500018064,2.2997962000081316,2.2997962000081316,2.51629610004602,0.21649990003788844,2.499443100008648,4.741174100025091,2.4413779000169598,2.2248779999790713,0.57551,0.14368417568485187,-0.0347368336820521,,,,None,,0.5,0.5,1.1672999417449452,1.1666666666666667,training_double_stim.csv,1.1662832000292838,1.1993666000198573,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,2,2,9,train_doubleStim,,,,,,red,0.572449761307126,0.575,2.3000878000166267,0.9970165000413544,2e-05,2e-05,,0.5749514999915846,0.6083462000242434,2.000255200022366,,2.3000878000166267,2.3000878000166267,2.5335253000375815,0.23343750002095476,2.5000744000426494,3.3917447000276297,1.091656900011003,0.8582193999900483,0.60242,0.14023769450772117,-0.046745898169240394,,,,None,,0.5,0.5,1.1057797613071259,1.1083333333333334,training_double_stim.csv,1.1086004000389948,1.141427399998065,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,500,0.5,none,25,green,red,no_Expectation,,,,,,0,3,3,6,train_doubleStim,,,,,,green,0.753589881228207,0.75,2.3002049999777228,0.9975031000212766,2e-05,2e-05,,0.7504767999635078,0.7838044999516569,2.0002788999699987,,2.3002049999777228,2.3002049999777228,2.3002049999777228,0.0,2.500218599976506,8.875346299959347,6.575141299981624,6.575141299981624,0.86818,0.059484395205691834,-0.1353269990929489,,,,None,,0.5,0.5,1.286919881228207,1.2833333333333332,training_double_stim.csv,1.2835338999866508,1.316830999974627,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,4,4,0,train_doubleStim,,,,,,green,0.7423598145684396,0.7416666666666667,2.29941710003186,0.9979760000132956,0.00012,0.00012,0.03275,0.7411042000167072,0.7745326000149362,1.9995246000471525,2.0328941000043415,2.29941710003186,2.29941710003186,2.3494036000338383,0.04998650000197813,2.499422200024128,4.249712300021201,1.9502951999893412,1.900308699987363,0.28265,0.11468110891255831,0.0932739685822141,,,,None,,-0.5,-0.5,0.20902981456843958,0.20833333333333334,training_double_stim.csv,0.2083214000449516,0.24132180004380643,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,,0,5,5,2,train_doubleStim,,,,,,green,1.1457081062992533,1.1416666666666666,2.300223400001414,0.9974600000423379,2e-05,2e-05,0.03331,1.1416437999578193,1.175175299984403,1.9999597999849357,2.0332373999990523,2.300223400001414,2.300223400001414,2.300223400001414,0.0,2.4998733999673277,3.9002845999784768,1.6000611999770626,1.6000611999770626,0.75232,0.10376127099977886,-0.10528717204389323,,,,None,,-0.5,-0.5,0.6123781062992533,0.6083333333333333,training_double_stim.csv,0.6082131000002846,0.6416777999838814,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,,0,6,6,1,train_doubleStim,,,,,,green,1.1680469986186546,1.1666666666666667,2.2993663999950513,0.9984390999889001,0.0001,0.0001,0.0326,1.1661961000063457,1.199569899996277,1.999520700017456,2.032629400026053,2.2993663999950513,2.2993663999950513,2.2993663999950513,0.0,2.4993075000238605,5.249583800032269,2.950217400037218,2.950217400037218,0.98538,0.006789311069574834,-0.14766751576325265,,,,None,,-0.5,-0.5,0.6347169986186544,0.6333333333333333,training_double_stim.csv,0.63273010001285,0.6661313000367954,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,7,7,5,train_doubleStim,,,,,,red,0.2952798338562568,0.2916666666666667,2.299551900010556,0.9980158000253141,1e-05,1e-05,0.03335,0.2913120000157505,0.32448589999694377,1.9995174999930896,2.0331866000196896,2.299551900010556,2.299551900010556,2.299551900010556,0.0,2.499673200014513,4.558078700036276,2.25852680002572,2.25852680002572,0.17877,0.07872503835198218,0.12511657880940025,,,,None,,0.5,0.5,0.8286098338562569,0.825,training_double_stim.csv,0.8244196000159718,0.8577693999977782,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
