delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,participant,session,date,expName,psychopyVersion,frameRate,
-233,0.8,met,green,red,1740.408703372748,,,,,0,3,3,2,trial,,,,,,green,1.740408703372748,1.7416666666666667,-0.233,-0.23333333333333334,1.474078703372748,1.475,trial_list_0.8_green.csv,2.3000581999949645,0.9983657999837305,4e-05,4e-05,,1.7415066999965347,1.7750289000105113,1.4748150999948848,1.5084533999906853,1.9998211000056472,,2.3000581999949645,2.3000581999949645,2.4997906000062358,2.841569000011077,0.5415108000161126,3.799632800015388,1.4995746000204235,0.9580638000043109,1.45411,-0.14629024512867636,-0.02123568074448528,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
100,0.8,met,green,red,1593.2261966569522,,,,,0,4,4,202,trial,,,,,,green,1.593226196656952,1.5916666666666666,0.1,0.1,1.726556196656952,1.7249999999999999,trial_list_0.8_green.csv,2.3001917999936268,0.9974231999949552,3e-05,3e-05,,1.5916188999835867,1.625055100012105,1.724960799998371,1.7583161999937147,1.999967200012179,,2.3001917999936268,2.3001917999936268,2.500203900010092,2.5750700999924447,0.27487829999881797,3.616948799986858,1.3167569999932311,1.0418786999944132,1.56387,-0.14485767649047226,0.029462578269248595,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
233,0.8,met,green,red,478.48659172839217,,,,,0,5,5,464,trial,,,,,,green,0.4784865917283922,0.475,0.233,0.23333333333333334,0.7448165917283922,0.7416666666666667,trial_list_0.8_green.csv,2.299932900001295,0.9963836999959312,2e-05,2e-05,0.03346,0.47499890002654865,0.5084367000090424,0.7416098000248894,0.7749897000030614,2.000037300022086,2.033321100025205,2.299932900001295,2.299932900001295,2.500047400011681,2.47507260000566,0.1751397000043653,2.9166726000257768,0.6167397000244819,0.44160000002011657,1.04439,-0.020545786824496554,-0.14638873112453793,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
167,0.8,met,green,red,308.8889048631649,,,,,0,6,6,261,trial,,,,,,green,0.3088889048631649,0.30833333333333335,0.167,0.16666666666666666,0.5092189048631649,0.5083333333333333,trial_list_0.8_green.csv,2.3165477000002284,0.9981122000026517,2e-05,2e-05,0.03321,0.30826130000059493,0.3415019999956712,0.5081592999922577,0.5414314999943599,1.9997861000010744,2.0332807000086177,2.3165477000002284,2.3165477000002284,2.5166012000117917,2.3165477000002284,0.0,2.949849800002994,0.6333021000027657,0.6333021000027657,0.88194,0.05357807832367567,-0.13777220140373744,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
33,0.1999999999999999,unmet,red,green,458.7677532440959,,,,,0,7,7,41,trial,,,,,,red,0.4587677532440959,0.4583333333333333,0.033,0.03333333333333333,0.5250977532440959,0.525,trial_list_0.8_green.csv,2.3000450000108685,0.9973207000002731,3e-05,3e-05,0.03333,0.4583186999952886,0.4917687000124715,0.5250371999864001,0.5582257999922149,2.0000020999868866,2.0333410000021104,2.3000450000108685,2.3000450000108685,2.4997332000057213,2.3000450000108685,0.0,2.8250041999854147,0.5249591999745462,0.5249591999745462,1.04712,-0.021802768859780143,-0.14620680294205507,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-100,0.8,met,green,red,373.58239112836617,,,,,0,8,8,191,trial,,,,,,green,0.37358239112836616,0.375,-0.1,-0.1,0.2402523911283662,0.24166666666666667,trial_list_0.8_green.csv,2.2999428000184707,0.9974530000181403,3e-05,3e-05,0.0333,0.37496939999982715,0.40836230001877993,0.24171020000358112,0.27500950000830926,2.00014899999951,2.033432200027164,2.2999428000184707,2.2999428000184707,2.500028200011002,2.408417200000258,0.10847439998178743,3.3498450000188313,1.0499022000003606,0.9414278000185732,0.55463,0.14565168949928636,-0.025246292846542968,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
233,0.8,met,green,red,1233.1411314896934,,,,,0,9,9,394,trial,,,,,,green,1.2331411314896934,1.2333333333333334,0.233,0.23333333333333334,1.4994711314896934,1.5,trial_list_0.8_green.csv,2.3000378999859095,0.9982656000065617,3e-05,3e-05,0.03343,1.2336291999963578,1.2668423999857623,1.49992019997444,1.5335207999742124,2.0001432999852113,2.033544699981576,2.3000378999859095,2.3000378999859095,2.4999564999889117,2.616731299989624,0.3166934000037145,3.2917078999744263,0.9916699999885168,0.6749765999848023,0.71315,0.1159004053690722,-0.09175448758384883,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
33,0.8,met,green,red,292.40890859331057,,,,,0,10,10,373,trial,,,,,,green,0.2924089085933106,0.2916666666666667,0.033,0.03333333333333333,0.35873890859331053,0.35833333333333334,trial_list_0.8_green.csv,2.30045079998672,0.9968063999840524,1e-05,1e-05,,0.29229949999717064,0.32558829998015426,0.35877169997547753,0.3921146999928169,2.0004185999860056,,2.30045079998672,2.30045079998672,2.500290899974061,2.30045079998672,0.0,3.233530099998461,0.933079300011741,0.933079300011741,0.36361,0.13445963682457843,0.06141983410505435,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
100,0.8,met,green,red,880.5366574874749,,,,,0,11,11,225,trial,,,,,,green,0.8805366574874749,0.8833333333333333,0.1,0.1,1.013866657487475,1.0166666666666666,trial_list_0.8_green.csv,2.3000189999875147,0.997921200003475,4e-05,4e-05,0.0331,0.882964099990204,0.9162219999998342,1.0161934999923687,1.0497396999853663,1.9998265999893192,2.033003499993356,2.3000189999875147,2.3000189999875147,2.4999507000029553,2.4083487000025343,0.10832970001501963,3.016259199997876,0.7162402000103611,0.6079104999953415,0.64446,0.13285910584954494,-0.0648093199266073,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
300,0.8,met,green,red,498.22127824740767,,,,,0,12,12,33,trial,,,,,,green,0.4982212782474077,0.5,0.3,0.3,0.8315512782474077,0.8333333333333334,trial_list_0.8_green.csv,2.2999810999899637,0.9974977999809198,3e-05,3e-05,,0.5004534999898169,0.533862299984321,0.8339207000099123,0.8671061999921221,2.000074499985203,,2.2999810999899637,2.2999810999899637,2.4999976999824867,2.7004885000060312,0.40050740001606755,3.1416793999960646,0.8416983000061009,0.44119089999003336,0.79296,0.08951036234752155,-0.11764219051388544,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
