id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49886200000037206,0.49886200000037206,269.99999999999955,2.5073105000001306,2.5073105000001306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.49881809999988036,0.49881809999988036,269.99999999999955,2.5070519999999306,2.5070519999999306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,,0,0,0,2,train_doubleStim,,,,,,green,1.5615261665193412,1.575,2.308158800000456,0.999127099999896,1e-05,1e-05,0.03312,1.5747023000003537,1.6081330000006346,1.9996392000002743,2.033149300000332,2.308158800000456,2.7665670000005775,0.4584082000001217,2.308158800000456,2.5081690000006347,3.3665931000005003,1.0584343000000445,0.6000260999999227,1.29716,-0.11881197280808171,-0.08795172013065788,,,,None,,-0.5,-0.5,1.0281961665193413,1.0333333333333332,training_double_stim.csv,1.0329176000004736,1.0663229000001593,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,1,1,9,train_doubleStim,,,,,,red,0.7994031103554824,0.8083333333333333,2.3082039999999324,0.9989502999997057,2e-05,2e-05,,0.8082807000000685,0.8415794000002279,1.9998388000003615,,2.3082039999999324,2.5580878000000666,0.24988380000013422,2.3082039999999324,2.5081228000008196,3.391526700000213,1.0833227000002807,0.8334389000001465,1.43549,-0.1447982893357195,-0.02975307315117524,,,,None,,0.5,0.5,1.3327331103554823,1.3416666666666666,training_double_stim.csv,1.3417109000001801,1.3746004000004177,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,500,0.5,none,25,green,red,no_Expectation,,,,,,0,2,2,6,train_doubleStim,,,,,,green,0.656356901647329,0.6583333333333333,2.308395400000336,0.9980190000005678,2e-05,2e-05,,0.6586724999997386,0.6916799999999057,2.0002404999995633,,2.308395400000336,2.3834014000003663,0.07500600000003033,2.308395400000336,2.508312599999954,3.450281200000063,1.1418857999997272,1.0668797999996968,0.76699,0.09880064068603316,-0.10995555173123046,,,,None,,0.5,0.5,1.1896869016473288,1.2,training_double_stim.csv,1.2000062999995862,1.2336013000003732,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,3,3,3,train_doubleStim,,,,,,red,1.716711032613314,1.7249999999999999,2.3081026999998357,0.9984617000000071,1e-05,1e-05,,1.7251182999998491,1.7580457999993087,2.000114399999802,,2.3081026999998357,2.7164198999998916,0.4083172000000559,2.3081026999998357,2.5085370999995575,3.5334416999994573,1.2253389999996216,0.8170217999995657,1.28056,-0.11406492917648822,-0.09402649567251056,,,,None,,-0.5,-0.5,1.1833810326133138,1.1916666666666667,training_double_stim.csv,1.1913685999998052,1.2247012999996514,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,4,4,7,train_doubleStim,,,,,,green,0.745869939838518,0.75,2.3083526000000347,0.9982522000000245,2e-05,2e-05,0.03349,0.7504214999999022,0.7833762999998726,2.0002633999993122,2.03343169999971,2.3083526000000347,2.8668854999996256,0.5585328999995909,2.3083526000000347,2.508652699999402,4.00861199999963,1.7002593999995952,1.1417265000000043,1.03669,-0.0170028058319665,-0.14684241400334702,,,,None,,0.5,0.5,1.2791999398385179,1.2833333333333332,training_double_stim.csv,1.2833764999995765,1.316948499999853,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,500,0.5,none,60,red,green,no_Expectation,,,,,,0,5,5,8,train_doubleStim,,,,,,red,0.4256839240519771,0.425,2.3083198000003904,0.9970733000000109,2e-05,2e-05,0.03335,0.4251683000002231,0.45885100000032253,2.0002643999996508,2.0336456000004546,2.3083198000003904,2.3083198000003904,0.0,2.3083198000003904,2.5083479000004445,2.9751216000004206,0.6668018000000302,0.6668018000000302,0.26843,0.11040118890592446,0.09830242847787793,,,,None,,0.5,0.5,0.9590139240519772,0.9666666666666667,training_double_stim.csv,0.9667803000002095,1.0001228999999512,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,6,6,0,train_doubleStim,,,,,,green,0.8824117862806095,0.8916666666666666,2.308347400000457,0.9974369999999908,2e-05,2e-05,0.03342,0.8917324000003646,0.9250542999998288,1.9999119000003702,2.033338299999741,2.308347400000457,2.558498299999883,0.25015089999942575,2.308347400000457,2.5084587999999712,3.874928600000203,1.5665811999997459,1.3164303000003201,0.51368,0.14768696770836706,-0.006352127643370625,,,,None,,-0.5,-0.5,0.3490817862806095,0.35,training_double_stim.csv,0.34992760000022827,0.38344430000051943,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,,0,7,7,1,train_doubleStim,,,,,,green,0.9394007960021419,0.9416666666666667,2.3084509000000253,0.9978133000004163,1e-05,1e-05,,0.941606899999897,0.9751145000000179,2.0000783999994383,2.0334163999996235,2.3084509000000253,3.1417936999996527,0.8333427999996275,2.3084509000000253,2.5085105999996813,4.250456699999631,1.942005799999606,1.1086629999999786,0.68186,0.12434595433348358,-0.07993668492866803,,,,None,,-0.5,-0.5,0.4060707960021419,0.4083333333333333,training_double_stim.csv,0.4082896999998411,0.44160639999972773,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,8,8,5,train_doubleStim,,,,,,red,0.8638199910715887,0.8666666666666667,2.3083741999998892,0.9966946999993525,1e-05,1e-05,0.03338,0.8666929000000891,0.9001265999995667,2.000011000000086,2.0335973999999624,2.3083741999998892,2.3083741999998892,0.0,2.3083741999998892,2.508353399999578,3.1752096000000165,0.8668354000001273,0.8668354000001273,1.23541,-0.09962742625508358,-0.10920698647191855,,,,None,,0.5,0.5,1.3971499910715885,1.4083333333333332,training_double_stim.csv,1.408325800000057,1.4417993999995815,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,9,9,4,train_doubleStim,,,,,,red,1.8389318729872939,1.8499999999999999,2.308362899999338,0.9980309000002308,1e-05,1e-05,0.0333,1.8498272999995606,1.8836468999998033,2.000473499999316,2.033300899999631,2.308362899999338,2.7918319999998857,0.48346910000054777,2.308362899999338,2.5087681999993947,3.7835692999997264,1.4752064000003884,0.9917372999998406,1.70892,-0.11710960350155311,0.0902060459403855,,,,None,,-0.5,-0.5,1.305601872987294,1.3166666666666667,training_double_stim.csv,1.3167639999992389,1.349930299999869,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5324157000004561,0.5324157000004561,269.99999999999955,2.5405296000008093,2.5405296000008093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4980279999999766,0.4980279999999766,269.99999999999955,2.5067008000005444,2.5067008000005444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.4983876999995118,0.4983876999995118,269.99999999999955,2.5069392999994307,2.5069392999994307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.49862149999989924,0.49862149999989924,269.99999999999955,2.5065468999991936,2.5065468999991936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
