id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49883520000003045,0.49883520000003045,270.0,2.4989352999982657,2.4989352999982657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4984283999983745,0.4984283999983745,270.0,2.4983360999976867,2.4983360999976867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,0,0,5,train_doubleStim,,,,,,red,0.5750924566841429,0.575,2.2996630999987246,0.9992496999984724,2e-05,2e-05,0.5746866000008595,0.6079456000006758,1.9998316000019258,2.2996630999987246,2.2996630999987246,2.4998583999986295,2.4998583999986295,0.20019529999990482,3.1416776000005484,0.8420145000018238,0.6418192000019189,1.80691,-0.08427145514855068,0.12145003830232304,,,,None,,,,0.5,0.5,1.1084224566841427,1.1083333333333334,training_double_stim.csv,1.1087153000007675,1.1419954000011785,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,,0,1,1,1,train_doubleStim,,,,,,green,0.7463219618215512,0.75,2.300208799999382,0.9983400999990408,1e-05,1e-05,0.7501945999974851,0.7835091999986616,2.0006649999995716,2.300208799999382,2.300208799999382,2.5002457999980834,2.316795799997635,0.016586999998253305,3.199952499999199,0.8997436999998172,0.8831567000015639,0.07595,0.0349383199019277,0.14363531515236944,,,,None,,0.03381,2.0336754999989353,-0.5,-0.5,0.21299196182155122,0.21666666666666667,training_double_stim.csv,0.21659139999974286,0.25003319999814266,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,500,0.5,none,60,red,green,no_Expectation,,,,,,0,2,2,8,train_doubleStim,,,,,,red,0.15662903553694194,0.15833333333333333,2.299965500002145,0.9973282999999356,2e-05,2e-05,0.1583734000014374,0.19189919999917038,1.9999413000005006,2.299965500002145,2.299965500002145,2.5006011000004946,2.299965500002145,0.0,3.2582857999987027,0.9583202999965579,0.9583202999965579,1.89942,-0.045934508272747775,0.14050555471664025,,,,None,,0.03351,2.0333944000012707,0.5,0.5,0.689959035536942,0.6916666666666667,training_double_stim.csv,0.6916932000021916,0.7253014999987499,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,3,3,7,train_doubleStim,,,,,,green,0.7102684463692666,0.7083333333333334,2.2998881000021356,0.9983787999990454,3e-05,3e-05,0.7085062000005564,0.7416726000010385,1.999890900002356,2.2998881000021356,2.2998881000021356,2.5000166000027093,2.2998881000021356,0.0,2.9998820000000705,0.6999938999979349,0.6999938999979349,1.74564,-0.10594894244595554,0.10308545751498377,,,,None,,,,0.5,0.5,1.2435984463692666,1.2416666666666667,training_double_stim.csv,1.2415273000005982,1.2750930000001972,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,4,4,4,train_doubleStim,,,,,,red,0.7206811513635614,0.7166666666666667,2.3002813999992213,0.9981582000000344,1e-05,1e-05,0.7167059999992489,0.7503518000012264,2.000063499999669,2.3002813999992213,2.3002813999992213,2.5000270000018645,2.3002813999992213,0.0,3.333373199999187,1.0330917999999656,1.0330917999999656,1.9813,-0.008680495368927125,0.14756842127176112,,,,None,,,,-0.5,-0.5,0.18735115136356142,0.18333333333333332,training_double_stim.csv,0.18360409999877447,0.2170402000010654,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,500,0.5,none,25,green,red,no_Expectation,,,,,,0,5,5,6,train_doubleStim,,,,,,green,0.4252650350585679,0.425,2.299679700001434,0.9989722999998776,0.00013,0.00013,0.4245136999998067,0.4577973000014026,1.9993247999991581,2.299679700001434,2.299679700001434,2.49994180000067,2.4829938000002585,0.18331409999882453,2.924222199999349,0.624542499997915,0.44122839999909047,1.87343,-0.05724206482400175,0.1362906305333375,,,,None,,0.03333,2.032988499999192,0.5,0.5,0.958595035058568,0.9583333333333334,training_double_stim.csv,0.9577917999995407,0.9909346999993431,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,,0,6,6,2,train_doubleStim,,,,,,green,0.7951726166181756,0.7916666666666666,2.2999669999990147,0.9989983000014035,1e-05,1e-05,0.7913236999993387,0.8245691000010993,1.9998976999995648,2.2999669999990147,2.2999669999990147,2.4996543000015663,2.532899300000281,0.2329323000012664,3.249760899998364,0.9497938999993494,0.716861599998083,0.20055,0.08709349600508136,0.11944250880696872,,,,None,,,,-0.5,-0.5,0.26184261661817565,0.2583333333333333,training_double_stim.csv,0.2582741000005626,0.2913092999988294,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,7,7,9,train_doubleStim,,,,,,red,0.39263449583322213,0.39166666666666666,2.3003329999992275,0.9972221999996691,3e-05,3e-05,0.39145519999874523,0.4246125999998185,2.0003390999991097,2.3003329999992275,2.3003329999992275,2.4997829999992973,2.6748880999984976,0.37455509999927017,3.1334390999982134,0.8331060999989859,0.4585509999997157,0.20383,0.08832178594898965,0.11853713377364403,,,,None,,,,0.5,0.5,0.9259644958332222,0.9249999999999999,training_double_stim.csv,0.9247684999972989,0.9583158999994339,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
