delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,audCueStart.stopped,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
33,0.5,none,green,red,364.3494040509468,,,,,0,405,405,43,trial,,,,,,green,0.3643494040509468,0.36363636363636365,0.033,0.03305785123966942,0.4306794040509468,0.4297520661157025,trial_list_0.5_red.csv,2.2995549000042956,0.9972209999978077,3e-05,3e-05,0.36667089999536984,0.4001416999963112,0.4333164999843575,0.46653750000405125,1.9995338000007905,2.2995549000042956,2.3997339000052307,0.10017900000093505,2.2995549000042956,2.499924000003375,3.074999599979492,0.7754446999751963,0.6752656999742612,0.59277,0.14158924295846204,-0.04247677288753861,None,0.03309,,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
-33,0.5,none,red,green,408.60844797939103,,,,,0,406,406,78,trial,,,,,,red,0.40860844797939105,0.4049586776859504,-0.033,-0.03305785123966942,0.34227844797939105,0.33884297520661155,trial_list_0.5_red.csv,2.299506299983477,0.9967006999941077,6e-05,6e-05,0.4080832999898121,0.44126199997845106,0.3416684999829158,0.37488560000201687,1.9998493999883067,2.299506299983477,2.299506299983477,0.0,2.299506299983477,2.499774600000819,2.8248385999759194,0.5253322999924421,0.5253322999924421,0.77398,0.09636412111438215,-0.1120970388473425,None,0.03296,2.0330849000019953,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
-100,0.5,none,green,red,559.8432872314646,,,,,0,407,407,283,trial,,,,,,green,0.5598432872314646,0.5537190082644629,-0.1,-0.09917355371900827,0.42651328723146464,0.42148760330578516,trial_list_0.5_red.csv,2.2998890000162646,0.9966408000036608,4e-05,4e-05,0.5583874000003561,0.5916888000210747,0.4247932000143919,0.4583205000089947,1.9994173000159208,2.2998890000162646,2.2998890000162646,0.0,2.2998890000162646,2.4997390000207815,3.0498493000050075,0.7499602999887429,0.7499602999887429,0.74242,0.10698542384309487,-0.10200935761783463,None,0.03319,,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
300,0.5,none,green,red,1437.057230752739,,,,,0,408,408,31,trial,,,,,,green,1.4370572307527392,1.4214876033057853,0.3,0.2975206611570248,1.770387230752739,1.7520661157024793,trial_list_0.5_red.csv,2.3001727999944706,0.9973503999935929,7e-05,7e-05,1.4334906000003684,1.4669616000028327,1.766740299994126,1.7998708999948576,1.9999412999895867,2.3001727999944706,2.3082119000027888,0.0080391000083182,2.3001727999944706,2.4999187999928836,3.324881100008497,1.0247083000140265,1.0166692000057083,1.45214,-0.14615539571683012,-0.022144756926792443,None,0.03309,2.033468299981905,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
33,0.5,none,red,green,630.2337206398529,,,,,0,409,409,318,trial,,,,,,red,0.630233720639853,0.628099173553719,0.033,0.03305785123966942,0.696563720639853,0.6859504132231405,trial_list_0.5_red.csv,2.300028099998599,0.9969421999994665,3e-05,3e-05,0.6334837999893352,0.6669869000033941,0.6917219999886584,0.7248570999945514,1.999880099989241,2.300028099998599,2.3084267000085674,0.008398600009968504,2.300028099998599,2.5002721000055317,3.349827500001993,1.0497994000033941,1.0414007999934256,0.67981,0.12485761671194036,-0.07913510918362418,None,0.03338,2.0334657999919727,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
300,0.5,none,red,green,1417.0763279845166,,,,,0,410,410,24,trial,,,,,,red,1.4170763279845167,1.4049586776859504,0.3,0.2975206611570248,1.7504063279845166,1.7355371900826446,trial_list_0.5_red.csv,2.2998195000109263,0.997778200020548,4e-05,4e-05,1.4162204000167549,1.4496718000154942,1.7493473000067752,1.7826373999996576,1.9998623999999836,2.2998195000109263,2.5413521000009496,0.2415325999900233,2.2998195000109263,2.499722300010035,3.6915466000209562,1.39172710001003,1.1501945000200067,1.49363,-0.14779395364965298,-0.0029558790729930593,None,0.03323,2.0329992000188213,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
167,0.5,none,red,green,685.1139573217362,,,,,0,411,411,304,trial,,,,,,red,0.6851139573217362,0.6776859504132231,0.167,0.1652892561983471,0.8854439573217362,0.8760330578512396,trial_list_0.5_red.csv,2.3003137000196148,0.9972832000057679,3e-05,3e-05,0.6833320000150707,0.7168378000205848,0.8834428999980446,0.917499700008193,1.9996804000111297,2.3003137000196148,2.3003137000196148,0.0,2.3003137000196148,2.500260300002992,2.9168621000135317,0.616548399993917,0.616548399993917,1.23326,-0.09888871435018512,-0.10987634927798347,None,,,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
-33,0.5,none,green,red,1145.737431854342,,,,,0,412,412,91,trial,,,,,,green,1.145737431854342,1.1322314049586777,-0.033,-0.03305785123966942,1.079407431854342,1.0661157024793388,trial_list_0.5_red.csv,2.3001814000017475,0.9973347999912221,4e-05,4e-05,1.1417018999927677,1.1752558999869507,1.0750404999998864,1.1083815000019968,2.0000417999981437,2.3001814000017475,2.558319899981143,0.2581384999793954,2.3001814000017475,2.4999512000067625,3.2833705999946687,0.9831891999929212,0.7250507000135258,1.04953,-0.02290787944777417,-0.14603773147956034,None,0.03333,2.0335910999856424,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
33,0.5,none,red,green,217.65943018127217,,,,,0,413,413,204,trial,,,,,,red,0.21765943018127218,0.21487603305785125,0.033,0.03305785123966942,0.28398943018127215,0.2809917355371901,trial_list_0.5_red.csv,2.300045299984049,0.9968631999799982,4e-05,4e-05,0.21646759999566711,0.24992609999026172,0.28316110000014305,0.31643749997601844,1.999943999981042,2.300045299984049,2.508016799984034,0.2079714999999851,2.300045299984049,2.4997102999768686,3.2080752999754623,0.9080299999914132,0.7000584999914281,0.232,0.09845278839164988,0.11026712299864787,None,,,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
233,0.5,none,red,green,979.1297378083534,,,,,0,414,414,498,trial,,,,,,red,0.9791297378083534,0.9669421487603306,0.233,0.23140495867768596,1.2454597378083534,1.231404958677686,trial_list_0.5_red.csv,2.30026769998949,0.9970932000142056,4e-05,4e-05,0.9750034000026062,1.0083680999814533,1.2416138999979012,1.2749672000063583,1.9999768999987282,2.30026769998949,2.3249668999924324,0.024699200002942234,2.30026769998949,2.500381499994546,2.858145300007891,0.5578776000184007,0.5331784000154585,1.05625,-0.02598598911527982,-0.14552153904556703,None,0.03345,2.0333716000022832,ahmed_base_continued,001,2023-04-29_13h46.10.803,expectation_shapes_perceived_time,2022.2.4,119.83266566098743,
